objectid,title,display_template,format,date,description,location,subject,latitude,longitude,object_location,image_small,image_thumb,image_alt_text
peter_brown_mayflower,Peter Brown arrives on the Mayflower,record,,1620,Mayflower carpenter and a signer of the Compact; my direct ancestor.,"Plymouth, Massachusetts",Mayflower;Colonial era;Literacy,41.9580,-70.6620,,,,
peter_brown_bible,Peter Brown's estate inventory lists a single Bible,record,,1633,His whole formal educational inheritance to his orphaned daughters.,"Plymouth, Massachusetts",Colonial era;Literacy,41.9580,-70.6620,,,,
mary_ephraim_marriage,Mary Brown marries Ephraim Tinkham,record,,1646,The marriage by which the family takes the Tinkham name.,"Plymouth, Massachusetts",Colonial era,41.9580,-70.6620,,,,
eliot_indian_bible,The Eliot Indian Bible is printed,record,,1663,Scripture translated into Wampanoag as an instrument of conversion and schooling.,"Cambridge, Massachusetts",Wampanoag;Literacy,42.3736,-71.1097,,,,
brenton_purchase,William Brenton 'purchases' Mattapoisett from Metacomet,record,,1664,The harbor 'bought' from the Wampanoag sachem (King Philip).,"Mattapoisett, Massachusetts",Wampanoag;Land,41.6584,-70.8203,,,,
king_philips_war,King Philip's War; Middleborough disrupted,record,,1675,"The Tinkham sons were early proprietors of Middleborough, which had no settled grammar school in their youth.","Middleborough, Massachusetts",Colonial era;Wampanoag,41.8934,-70.9112,,,,
rochester_incorporated,Rochester incorporated on the land called Sippican,record,,1679,The town founded on Wampanoag ground; later split into Marion and Mattapoisett.,"Rochester, Massachusetts",Colonial era;Wampanoag,41.7259,-70.8200,,,,
ma_district_law,Massachusetts district-school law,record,,1789,"Towns divided into districts, each run by an elected prudential committee-man.","Rochester, Massachusetts",District schools,41.7259,-70.8200,,,,
rochester_district_system,Rochester adopts the district system (16 districts),record,,1799,Grew to twenty-one districts by the 1820s.,"Rochester, Massachusetts",District schools,41.7259,-70.8200,,,,
rochester_academy,Rochester Academy built,record,,1838,Greek Revival academy at the town center; still standing.,"Rochester, Massachusetts",Academies,41.7259,-70.8200,,,,
mattapoisett_academy,Mattapoisett Academy opens (later the Barstow School),image,image/jpeg,1856,Private academy in the old 1816 Congregational meeting-house; became the Barstow School after 1870.,"Mattapoisett, Massachusetts",Academies,41.6601,-70.8190,/objects/mattapoisett_academy.jpg,/objects/mattapoisett_academy.jpg,/objects/mattapoisett_academy.jpg,"The Mattapoisett Academy (later the Barstow School), an 1816 meeting-house with a cupola, framed by bare trees."
mattapoisett_incorporated,"Mattapoisett incorporated, separating from Rochester",record,,1857,Tinkhamtown becomes part of the new town of Mattapoisett.,"Mattapoisett, Massachusetts",Local history,41.6584,-70.8203,,,,
tinkhamtown_schoolhouse,Thomas Tinkham sells the town a parcel for a district schoolhouse,record,,1871,At the elbow of Long Plain Road and Tinkham Lane; the land returned to the family after 1899.,"Mattapoisett, Massachusetts",District schools,41.6840,-70.8100,,,,
tinkhamtown_chapel,Tinkhamtown Chapel built,image,image/jpeg,1889,"Conveyed 'only to be used for the worship of Almighty God,' on the site of a meeting house burned in 1850. (Group photograph ca.1890, courtesy of the Mattapoisett Museum.)","Mattapoisett, Massachusetts",Local history,41.6840,-70.8100,/objects/tinkhamtown_chapel_group.jpg,/objects/tinkhamtown_chapel_group.jpg,/objects/tinkhamtown_chapel_group.jpg,"A group of people, including several Tinkhams, in front of the Tinkhamtown Chapel, about 1890."
new_bedford_three,'Three New Bedfords': the mills sort children by class,record,,1896,"Mill schools, manual training, and the class divide a resident named that year.","New Bedford, Massachusetts",Mills,41.6362,-70.9342,,,,
center_school,Center School opens (gift of Henry H. Rogers),image,image/jpeg,1899,The 1899 building that anchored four generations of the family.,"Mattapoisett, Massachusetts",Consolidation,41.6584,-70.8203,/objects/center_school_news_1899.jpg,/objects/center_school_news_1899.jpg,/objects/center_school_news_1899.jpg,"1899 newspaper engraving of the new Center School building, with its clock tower."
tinkhamtown_map_1903,"Detail of Tinkhamtown, 1903 atlas of Mattapoisett",image,image/jpeg,1903,"A 1903 map showing the school, chapel, sawmills, and Tinkham homes along Tinkham Lane.","Mattapoisett, Massachusetts",Local history;District schools,41.6840,-70.8100,/objects/tinkhamtown_map_1903.jpg,/objects/tinkhamtown_map_1903.jpg,/objects/tinkhamtown_map_1903.jpg,"Detail of a 1903 atlas showing the Tinkhamtown section of Mattapoisett, with a school, a chapel, sawmills, and several Tinkham family homes labeled along Tinkham Lane."
ruthie_mills,Great-aunt Ruthie leaves school to work in the mills,record,,1930,"(approx., from the 1930 census) She left school so her brother Louis could stay; I carry her middle name.","New Bedford, Massachusetts",Mills,41.6362,-70.9342,,,,
oman_price_nbhs,Oman Price graduates New Bedford High School,record,,1935,My paternal grandfather; later took extension courses at the Voke.,"New Bedford, Massachusetts",Higher education,41.6362,-70.9342,,,,
marion_fairhaven,Marion graduates Fairhaven High School,record,,1938,"Walked roughly three miles to the herring weir to catch the bus, then on to Kinyon-Campbell secretarial school.","Fairhaven, Massachusetts",Consolidation,41.6376,-70.9039,,,,
louis_voke_wwii,Louis enlists for WWII after New Bedford Vocational,record,,1942,(approx.) Lied about his age to enlist in the Army.,"New Bedford, Massachusetts",Vocational;Mills,41.6362,-70.9342,,,,
louis_gi_bill,Louis earns a GI-Bill degree at the New Bedford Textile Institute,record,,1948,(approx.) Later taught engineering at the institution that became SMU / UMass Dartmouth.,"New Bedford, Massachusetts",Higher education;Vocational,41.6362,-70.9342,,,,
orr_opens,Old Rochester Regional High School opens,record,,1961,The shared tri-town high school; aunt Linda was in its first graduating class.,"Mattapoisett, Massachusetts",Consolidation,41.6612,-70.7950,,,,
cyert_center,Cyert Center for Early Education founded by women faculty,record,,1971,Begun with twelve children in a CMU dorm basement; my daughter Dorothea attends.,"Pittsburgh, Pennsylvania",Higher education;Childhood,40.4433,-79.9436,,,,
bent_twig,Bent Twig alternative school opens in the Center School basement,record,,1974,Where my uncle Mark learned pennywhistle and carpentry (and the cherry-bomb story).,"Mattapoisett, Massachusetts",Consolidation,41.6584,-70.8203,,,,
mother_mlis,My mother earns an MLIS at Drexel,record,,1980,(approx.) She became a public librarian; I earned the same degree about thirty years later.,"Philadelphia, Pennsylvania",Librarianship;Higher education,39.9566,-75.1899,,,,
wopanaak,Wopanaak Language Reclamation Project founded,record,,1993,Mashpee linguist Jessie Little Doe Baird begins reclaiming a language six generations without a speaker.,"Mashpee, Massachusetts",Wampanoag;Literacy,41.6487,-70.4828,,,,
charlotte_mlis,I earn an MLIS at Drexel,record,,2010,"The same degree, from the same school, as my mother.","Philadelphia, Pennsylvania",Librarianship;Higher education,39.9566,-75.1899,,,,
father_northeastern,My father earns a bachelor's at Northeastern at fifty,record,,2010,"(approx.) Summa cum laude, graduating the same year I finished my degree.","Boston, Massachusetts",Higher education,42.3398,-71.0892,,,,
charlotte_tc,"I begin a doctorate at Teachers College, Columbia",record,,2019,In education; still in progress.,"New York, New York",Higher education,40.8094,-73.9610,,,,
charlotte_cmu,I become a faculty librarian at Carnegie Mellon,record,,2022,"Teaching research and information literacy, like my grandfather and great-uncle taught.","Pittsburgh, Pennsylvania",Librarianship;Higher education,40.4433,-79.9436,,,,
west_district_schoolhouse,"West District (""Olive Branch"") Schoolhouse",image,image/jpeg,,"The West District Schoolhouse on Church Street, Mattapoisett, once called the Olive Branch Schoolhouse. Plate from Stiles, Mattapoisett and Old Rochester (1907).","Mattapoisett, Massachusetts",District schools,41.6590,-70.8230,/objects/west_district_schoolhouse.jpg,/objects/west_district_schoolhouse.jpg,/objects/west_district_schoolhouse.jpg,A clapboard one-room schoolhouse behind a large tree.
louis_reading_with_daughter,Louis Reading with His Daughter,image,image/jpeg,,My grandfather Louis reading with my mother as a small child.,,Literacy,,,/objects/louis_reading_with_daughter.jpg,/objects/louis_reading_with_daughter.jpg,/objects/louis_reading_with_daughter.jpg,"A young man in a chair reading a magazine with a small girl on his lap, beside a vintage radio."
minnie_earl_tinkham,Minnie and Earl Tinkham,image,image/jpeg,1918,Minnie and Earl Tinkham in front of the house my parents live in today; Earl in his World War I uniform. (Date approximate.),"Mattapoisett, Massachusetts",Family,,,/objects/minnie_earl_tinkham.jpg,/objects/minnie_earl_tinkham.jpg,/objects/minnie_earl_tinkham.jpg,A young man in uniform and a woman in a white dress standing in front of a clapboard house.
tinkhamtown_schoolhouse_photo,Tinkhamtown Schoolhouse,image,image/jpeg,,Photograph of the one-room Tinkhamtown schoolhouse. Courtesy of the Mattapoisett Museum (0900.9.4).,"Mattapoisett, Massachusetts",District schools,41.6840,-70.8100,https://d8e7jbdw4fu0e.cloudfront.net/6742/de2fd6d0-07cd-11ec-8463-151a599f2d68-vdW6tg2.lg-nt@2x.jpg,https://d8e7jbdw4fu0e.cloudfront.net/6742/de2fd6d0-07cd-11ec-8463-151a599f2d68-vdW6tg2.sm@2x.jpg,https://d3f1jyudfg58oi.cloudfront.net/6742/image/de2fd6d0-07cd-11ec-8463-151a599f2d68-tHnBJPh.tn@2x.JPG,One-room wooden schoolhouse with a small outhouse beside it.
